Date,Open,High,Low,Close,Adj Close,Volume
2010-12-16,67875.000000,68377.000000,67138.000000,67306.000000,67306.000000,2401400
2010-12-17,67304.000000,67981.000000,66948.000000,67981.000000,67981.000000,0
2010-12-20,67979.000000,68196.000000,67264.000000,67264.000000,67264.000000,2352800
2010-12-21,67261.000000,68461.000000,67261.000000,68215.000000,68215.000000,1897400
2010-12-22,68218.000000,68472.000000,67727.000000,68471.000000,68471.000000,1656800
2010-12-23,68470.000000,68562.000000,68250.000000,68486.000000,68486.000000,1229400
2010-12-27,68476.000000,68476.000000,67803.000000,67803.000000,67803.000000,1035400
2010-12-28,67810.000000,68104.000000,67810.000000,68041.000000,68041.000000,0
2010-12-29,68043.000000,69040.000000,68043.000000,68952.000000,68952.000000,1307800
2010-12-30,68953.000000,69527.000000,68940.000000,69305.000000,69305.000000,2102200
2011-01-03,69310.000000,70471.000000,69305.000000,69962.000000,69962.000000,1862400
2011-01-04,69962.000000,70318.000000,69560.000000,70318.000000,70318.000000,2427200
2011-01-05,70311.000000,71173.000000,69802.000000,71091.000000,71091.000000,2309200
2011-01-06,71093.000000,71167.000000,70469.000000,70579.000000,70579.000000,2546000
2011-01-07,70580.000000,70783.000000,69718.000000,70057.000000,70057.000000,1761000
2011-01-10,70056.000000,70133.000000,69666.000000,70127.000000,70127.000000,1610800
2011-01-11,70146.000000,70647.000000,70145.000000,70423.000000,70423.000000,2138000
2011-01-12,70429.000000,71633.000000,70429.000000,71633.000000,71633.000000,2516000
2011-01-13,71631.000000,71924.000000,70719.000000,70721.000000,70721.000000,2237800
2011-01-14,70723.000000,71184.000000,70397.000000,70940.000000,70940.000000,1806600
2011-01-17,70940.000000,70940.000000,70544.000000,70609.000000,70609.000000,1538600
2011-01-18,70612.000000,71094.000000,70612.000000,70920.000000,70920.000000,1877400
2011-01-19,70921.000000,71190.000000,69966.000000,70058.000000,70058.000000,1884800
2011-01-20,70056.000000,70083.000000,69177.000000,69562.000000,69562.000000,2169600
2011-01-21,69560.000000,70027.000000,69095.000000,69133.000000,69133.000000,2071800
2011-01-24,69134.000000,69513.000000,68786.000000,69427.000000,69427.000000,1474400
2011-01-26,69427.000000,69556.000000,68515.000000,68709.000000,68709.000000,2542400
2011-01-27,68717.000000,69108.000000,67775.000000,68051.000000,68051.000000,2304400
2011-01-28,68051.000000,68182.000000,65898.000000,66698.000000,66698.000000,2544000
2011-01-31,66697.000000,67166.000000,66271.000000,66575.000000,66575.000000,2253800
2011-02-01,66575.000000,67922.000000,66575.000000,67847.000000,67847.000000,2114000
2011-02-02,67844.000000,68012.000000,66643.000000,66688.000000,66688.000000,2551400
2011-02-03,66688.000000,66849.000000,66091.000000,66765.000000,66765.000000,2380800
2011-02-04,66752.000000,66946.000000,65160.000000,65269.000000,65269.000000,2676800
2011-02-07,65272.000000,65893.000000,64916.000000,65362.000000,65362.000000,1980400
2011-02-08,65359.000000,66238.000000,65110.000000,65771.000000,65771.000000,2764000
2011-02-09,65767.000000,65767.000000,64016.000000,64218.000000,64218.000000,2811400
2011-02-10,64217.000000,65106.000000,64185.000000,64578.000000,64578.000000,2356400
2011-02-11,64582.000000,65890.000000,64562.000000,65756.000000,65756.000000,2396400
